platform;slug;name;released;background_image;genre
Linux;wasteland;Wasteland;01/01/1988;https://media.rawg.io/media/screenshots/5ad/5adb88d1c6b9fc4fde1f372c9b6e451b.jpg;Indie, Strategy, Adventure, RPG
Classic Macintosh;wasteland;Wasteland;01/01/1988;https://media.rawg.io/media/screenshots/5ad/5adb88d1c6b9fc4fde1f372c9b6e451b.jpg;Indie, Strategy, Adventure, RPG
Apple II;wasteland;Wasteland;01/01/1988;https://media.rawg.io/media/screenshots/5ad/5adb88d1c6b9fc4fde1f372c9b6e451b.jpg;Indie, Strategy, Adventure, RPG
Commodore / Amiga;wasteland;Wasteland;01/01/1988;https://media.rawg.io/media/screenshots/5ad/5adb88d1c6b9fc4fde1f372c9b6e451b.jpg;Indie, Strategy, Adventure, RPG
PC;wasteland-2-directors-cut;Wasteland 2: Director's Cut;13/10/2015;https://media.rawg.io/media/games/4f4/4f4c0c0d2127fd67b1e894204029468b.jpg;Indie, Strategy, Adventure, RPG
Xbox One;wasteland-2-directors-cut;Wasteland 2: Director's Cut;13/10/2015;https://media.rawg.io/media/games/4f4/4f4c0c0d2127fd67b1e894204029468b.jpg;Indie, Strategy, Adventure, RPG
PlayStation 4;wasteland-2-directors-cut;Wasteland 2: Director's Cut;13/10/2015;https://media.rawg.io/media/games/4f4/4f4c0c0d2127fd67b1e894204029468b.jpg;Indie, Strategy, Adventure, RPG
Nintendo Switch;wasteland-2-directors-cut;Wasteland 2: Director's Cut;13/10/2015;https://media.rawg.io/media/games/4f4/4f4c0c0d2127fd67b1e894204029468b.jpg;Indie, Strategy, Adventure, RPG
macOS;wasteland-2-directors-cut;Wasteland 2: Director's Cut;13/10/2015;https://media.rawg.io/media/games/4f4/4f4c0c0d2127fd67b1e894204029468b.jpg;Indie, Strategy, Adventure, RPG
Linux;wasteland-2-directors-cut;Wasteland 2: Director's Cut;13/10/2015;https://media.rawg.io/media/games/4f4/4f4c0c0d2127fd67b1e894204029468b.jpg;Indie, Strategy, Adventure, RPG
PC;wasteland-3;Wasteland 3;28/08/2020;https://media.rawg.io/media/games/370/370a4cbcfa75e5238ee8f74bf323694d.jpg;Strategy, RPG
Xbox One;wasteland-3;Wasteland 3;28/08/2020;https://media.rawg.io/media/games/370/370a4cbcfa75e5238ee8f74bf323694d.jpg;Strategy, RPG
PlayStation 4;wasteland-3;Wasteland 3;28/08/2020;https://media.rawg.io/media/games/370/370a4cbcfa75e5238ee8f74bf323694d.jpg;Strategy, RPG
macOS;wasteland-3;Wasteland 3;28/08/2020;https://media.rawg.io/media/games/370/370a4cbcfa75e5238ee8f74bf323694d.jpg;Strategy, RPG
Linux;wasteland-3;Wasteland 3;28/08/2020;https://media.rawg.io/media/games/370/370a4cbcfa75e5238ee8f74bf323694d.jpg;Strategy, RPG
PC;watch-dogs;Watch Dogs;27/05/2014;https://media.rawg.io/media/games/879/879c930f9c6787c920153fa2df452eb3.jpg;Adventure, Action
Xbox One;watch-dogs;Watch Dogs;27/05/2014;https://media.rawg.io/media/games/879/879c930f9c6787c920153fa2df452eb3.jpg;Adventure, Action
PlayStation 4;watch-dogs;Watch Dogs;27/05/2014;https://media.rawg.io/media/games/879/879c930f9c6787c920153fa2df452eb3.jpg;Adventure, Action
Xbox 360;watch-dogs;Watch Dogs;27/05/2014;https://media.rawg.io/media/games/879/879c930f9c6787c920153fa2df452eb3.jpg;Adventure, Action
PlayStation 3;watch-dogs;Watch Dogs;27/05/2014;https://media.rawg.io/media/games/879/879c930f9c6787c920153fa2df452eb3.jpg;Adventure, Action
Wii U;watch-dogs;Watch Dogs;27/05/2014;https://media.rawg.io/media/games/879/879c930f9c6787c920153fa2df452eb3.jpg;Adventure, Action
PC;watch_dogs-2;Watch Dogs 2;28/11/2016;https://media.rawg.io/media/games/f52/f52cf6ba08089cd5f1a9c8f7fcc93d1f.jpg;Adventure, Action
Xbox One;watch_dogs-2;Watch Dogs 2;28/11/2016;https://media.rawg.io/media/games/f52/f52cf6ba08089cd5f1a9c8f7fcc93d1f.jpg;Adventure, Action
PlayStation 4;watch_dogs-2;Watch Dogs 2;28/11/2016;https://media.rawg.io/media/games/f52/f52cf6ba08089cd5f1a9c8f7fcc93d1f.jpg;Adventure, Action
PC;watch-dogs-legion;Watch Dogs: Legion;29/10/2020;https://media.rawg.io/media/games/415/41563ce6cb061a210160687a4e5d39f6.jpg;Shooter, Adventure, Action
